epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0694,1.63747,4.35015,1.95275,0.72082,0.66667,0.76908,0.50119,1.13201,3.69977,1.84243,2e-05,2e-05,2e-05
2,39.8194,2.8022,8.85708,2.51843,0.97141,1,0.995,0.68686,1.08976,4.49832,1.79534,5.8812e-05,5.8812e-05,5.8812e-05
3,58.6393,1.43509,2.76771,1.71816,0.9719,1,0.995,0.75229,0.85989,6.10203,1.56877,9.604e-05,9.604e-05,9.604e-05
4,75.9328,1.54927,2.59675,1.88905,0.98982,1,0.995,0.82954,0.69037,6.34836,1.45044,0.000131684,0.000131684,0.000131684
5,94.1307,1.10969,1.97535,1.45161,0.98929,1,0.995,0.84155,0.68729,6.42231,1.38805,0.000165744,0.000165744,0.000165744
6,110.007,1.41267,1.7407,1.61221,0.98643,1,0.995,0.81591,0.70081,4.63647,1.41988,0.00019822,0.00019822,0.00019822
7,128.342,1.04942,1.36985,1.27183,0.97176,1,0.995,0.85568,0.64593,2.72387,1.39638,0.000229112,0.000229112,0.000229112
8,149.507,1.05513,1.72174,1.37969,0.98066,0.83333,0.931,0.76172,0.81851,2.87047,1.54678,0.00025842,0.00025842,0.00025842
9,165.357,1.02917,1.49651,1.41624,0.94168,0.83333,0.94167,0.76919,0.77848,2.5415,1.44959,0.000286144,0.000286144,0.000286144
10,181.469,0.82998,1.20891,1.18718,0.91568,0.83333,0.931,0.77516,0.71606,2.01946,1.36191,0.000312284,0.000312284,0.000312284
11,197.695,1.087,1.30681,1.434,0.96026,0.83333,0.955,0.66988,0.78487,1.98968,1.40652,0.00033684,0.00033684,0.00033684
12,221.943,1.19481,1.62006,1.54167,0.96558,0.83333,0.90885,0.67869,0.85464,1.88897,1.4074,0.000359812,0.000359812,0.000359812
13,241.23,1.31266,1.75221,1.48192,0.82637,0.83333,0.85467,0.59006,1.06846,2.40526,1.63524,0.0003812,0.0003812,0.0003812
14,262.279,1.10845,1.43274,1.51016,0.72827,0.83333,0.83167,0.57436,0.89152,3.54763,1.46885,0.000401004,0.000401004,0.000401004
15,286.747,0.87793,1.25837,1.18056,0.92657,0.83333,0.87864,0.66948,0.74123,3.29034,1.38938,0.000419224,0.000419224,0.000419224
16,312.066,0.8344,1.04852,1.20289,1,0.97617,0.995,0.68602,0.80874,2.35036,1.47136,0.00043586,0.00043586,0.00043586
17,331.904,1.01549,1.37697,1.28669,0.74191,1,0.9125,0.61095,1.13381,2.50009,1.89265,0.000450912,0.000450912,0.000450912
18,357.538,1.04101,0.97413,1.32908,0.97283,0.66667,0.81,0.518,1.24163,2.20795,2.15685,0.00046438,0.00046438,0.00046438
19,381.641,1.20028,1.31211,1.52471,0.9554,0.66667,0.885,0.51749,1.37349,2.72576,2.34508,0.000476264,0.000476264,0.000476264
20,405.1,1.08353,1.37528,1.28969,0.91153,0.66667,0.8931,0.56867,1.23573,2.83917,2.50447,0.000486564,0.000486564,0.000486564
21,425.053,0.90056,0.99956,1.17103,0.83214,0.82738,0.92667,0.59399,1.08655,3.39738,2.24771,0.00049528,0.00049528,0.00049528
22,445.031,0.84293,0.90748,1.1869,0.63884,1,0.8931,0.54778,1.17542,3.25447,2.52719,0.000502412,0.000502412,0.000502412
23,467.248,0.99749,1.21671,1.32687,0.72662,1,0.92667,0.4472,1.17045,3.61351,2.5591,0.00050796,0.00050796,0.00050796
24,488.234,0.83774,0.97004,1.10729,0.72888,1,0.92667,0.39685,1.32233,3.15914,2.6408,0.000511924,0.000511924,0.000511924
