epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,508.509,0.91079,0.9615,1.22165,0.90986,0.83333,0.931,0.37781,1.72155,2.71024,3.80789,0.000514304,0.000514304,0.000514304
26,529.884,0.95398,1.20543,1.28985,0.62217,1,0.995,0.52206,1.33934,4.16626,2.83399,0.0005151,0.0005151,0.0005151
27,550.531,1.03502,2.29373,2.01955,0.65903,1,0.97214,0.50342,1.23639,5.24305,2.798,0.000514312,0.000514312,0.000514312
28,572.645,0.94059,1.0866,1.2983,0.65903,1,0.97214,0.50342,1.23639,5.24305,2.798,0.00051194,0.00051194,0.00051194
29,601.724,0.87568,1.0037,1.25381,0.66463,1,0.9125,0.47888,1.45781,2.49443,2.94482,0.000507984,0.000507984,0.000507984
30,632.079,1.08029,0.92769,1.51613,0.77197,0.83333,0.87167,0.44937,1.57677,1.66366,2.64226,0.000502444,0.000502444,0.000502444
31,661.907,0.85647,0.80909,1.20346,0.77197,0.83333,0.87167,0.44937,1.57677,1.66366,2.64226,0.00049532,0.00049532,0.00049532
32,683.009,1.18607,1.0231,1.38877,0.65277,0.83333,0.77786,0.49811,1.46894,1.48364,2.3191,0.000486612,0.000486612,0.000486612
33,702.997,1.04931,0.9955,1.41495,0.56862,0.88234,0.81058,0.48684,1.54463,1.46342,2.40062,0.00047632,0.00047632,0.00047632
34,723.512,0.86998,0.86256,1.23346,0.56862,0.88234,0.81058,0.48684,1.54463,1.46342,2.40062,0.000464444,0.000464444,0.000464444
35,745.087,0.8385,0.83105,1.21407,0.69101,0.83333,0.8077,0.46805,1.3663,1.84007,2.30989,0.000450984,0.000450984,0.000450984
36,764.912,1.13837,0.90211,1.46274,0.78644,0.62148,0.78457,0.50917,1.27949,2.31487,2.22507,0.00043594,0.00043594,0.00043594
37,785.625,0.74277,0.93046,1.12082,0.78644,0.62148,0.78457,0.50917,1.27949,2.31487,2.22507,0.000419312,0.000419312,0.000419312
38,806.923,0.64533,0.95112,1.07787,0.54338,1,0.81272,0.57306,1.13778,2.05161,2.05245,0.0004011,0.0004011,0.0004011
39,826.324,0.98915,0.94118,1.24296,0.80918,0.83333,0.91333,0.64487,1.07238,1.5423,1.9729,0.000381304,0.000381304,0.000381304
40,846.627,0.78548,0.77891,1.18297,0.80918,0.83333,0.91333,0.64487,1.07238,1.5423,1.9729,0.000359924,0.000359924,0.000359924
41,879.695,0.67524,0.87635,1.09139,0.78535,0.83333,0.89394,0.68588,0.91185,1.35234,1.68854,0.00033696,0.00033696,0.00033696
42,910.663,0.76362,0.84715,1.12378,0.93627,0.83333,0.94167,0.70048,0.80725,1.2922,1.64665,0.000312412,0.000312412,0.000312412
43,933.034,0.46392,0.75285,0.89686,0.93627,0.83333,0.94167,0.70048,0.80725,1.2922,1.64665,0.00028628,0.00028628,0.00028628
44,955.078,0.61751,0.82077,1.06757,0.99287,1,0.995,0.70524,0.92851,1.47823,1.83996,0.000258564,0.000258564,0.000258564
45,976.069,0.85996,0.86207,1.41544,0.99287,1,0.995,0.70524,0.92851,1.47823,1.83996,0.000229264,0.000229264,0.000229264
46,999.063,0.85531,0.79343,1.31882,0.96487,1,0.995,0.70273,0.90257,1.74062,1.82733,0.00019838,0.00019838,0.00019838
47,1021.02,0.70732,1.06544,0.9865,0.96487,1,0.995,0.70273,0.90257,1.74062,1.82733,0.000165912,0.000165912,0.000165912
48,1047.05,0.62825,0.71701,1.13972,0.9731,1,0.995,0.71486,0.88242,1.72756,1.83908,0.00013186,0.00013186,0.00013186
49,1069.95,0.45771,0.53087,0.97401,0.9731,1,0.995,0.71486,0.88242,1.72756,1.83908,9.6224e-05,9.6224e-05,9.6224e-05
50,1096.97,0.45752,0.55898,1.08895,0.97872,1,0.995,0.73541,0.87615,1.62824,1.83419,5.9004e-05,5.9004e-05,5.9004e-05
